type,title,category,date,description,url,image,featured,published
publication,Channel-Agnostic Predictive Beamforming for Crowdsourced Bistatic Satellite ISAC with LLM,Journal,2025,"W. D. Lukito, W. Xiang, C. Liu, P. Lai, P. Cheng, W. Yuan, and G. Mao, “Channel-Agnostic Predictive Beamforming for Crowdsourced Bistatic Satellite ISAC with LLM,” IEEE Journal on Selected Areas in Communications (Early Access), pp. 1–16, 2025, doi: 10.1109/JSAC.2025.3641581. (Q1, IF = 17.2)",https://doi.org/10.1109/JSAC.2025.3641581,,TRUE,TRUE
publication,Learning to Design Transceiver for Integrated Sensing and Communications: A Satellite Communications Perspective,Journal,2025,"W. D. Lukito, W. Xiang, C. Liu, P. Lai, P. Cheng, and G. Mao, “Learning to Design Transceiver for Integrated Sensing and Communications: A Satellite Communications Perspective,” IEEE Transactions on Wireless Communications, vol. 24, no. 9, pp. 7409–7423, Sep. 2025, doi: 10.1109/TWC.2025.3560619. (Q1, IF = 10.7)",https://doi.org/10.1109/TWC.2025.3560619,,TRUE,TRUE
publication,Integrated STAR-RIS and UAV for Satellite IoT Communications: An Energy-Efficient Approach,Journal,2025,"W. D. Lukito, W. Xiang, P. Lai, P. Cheng, C. Liu, K. Yu, and X. Zhu, “Integrated STAR-RIS and UAV for Satellite IoT Communications: An Energy-Efficient Approach,” IEEE Internet of Things Journal, vol. 12, no. 9, pp. 11356–11371, May 2025, doi: 10.1109/JIOT.2024.3472019. (Q1, IF = 8.9)",https://doi.org/10.1109/JIOT.2024.3472019,,TRUE,TRUE
publication,Hybrid Network- and User-Centric Scalable Cell-Free Massive MIMO for Fronthaul Signaling Minimization,Journal,2025,"P. Lai, W. Xiang, W. D. Lukito, K. T. Phan, P. Cheng, C. Liu, and G. Mao, ""Hybrid Network- and User-Centric Scalable Cell-Free Massive MIMO for Fronthaul Signaling Minimization,"" in IEEE Transactions on Vehicular Technology, vol. 74, no. 5, pp. 8309-8314, May 2025, doi: 10.1109/TVT.2024.3456114. (Q1, IF = 7.1)",https://doi.org/10.1109/TVT.2024.3456114,,FALSE,TRUE
publication,Learning-Based RIS-Assisted Secure Beamforming Design: A User-Scalable GNN Approach,Conference,2025,"N. Francis, P. Cheng, W. D. Lukito and Y. Gao, ""Learning-Based RIS-Assisted Secure Beamforming Design: A User-Scalable GNN Approach,"" 2025 11th International Workshop on Signal Design and Its Applications in Communications (IWSDA), Melbourne, Australia, 2025, pp. 1-5, doi: 10.1109/IWSDA67899.2025.11457406.",https://doi.org/10.1109/IWSDA67899.2025.11457406,,FALSE,TRUE
publication,Multi Features-based Baseband Modulation Classification using Support Vector Machine,Conference,2021,"W. D. Lukito, F. E. Rashad and E. Y. Hamid, ""Multi Features-based Baseband Modulation Classification using Support Vector Machine,"" 2021 International Conference on Radar, Antenna, Microwave, Electronics, and Telecommunications (ICRAMET), Bandung, Indonesia, 2021, pp. 227-231, doi: 10.1109/ICRAMET53537.2021.9650496.",https://doi.org/10.1109/ICRAMET53537.2021.9650496,,FALSE,TRUE
publication,CLAHE Performance on Histogram-Based Features for Lymphoma Classification using KNN Algorithm,Conference,2021,"A. E. Nugroho, W. D. Lukito, I. Anshori, W. Adiprawita, H. A. Usman and O. Husain, ""CLAHE Performance on Histogram-Based Features for Lymphoma Classification using KNN Algorithm,"" 2021 15th International Conference on Telecommunication Systems, Services, and Applications (TSSA), Bali, Indonesia, 2021, pp. 1-5, doi: 10.1109/TSSA52866.2021.9768221.",https://doi.org/10.1109/TSSA52866.2021.9768221,,FALSE,TRUE
publication,"A Low Cost, Compact, and Easy to Set Up 4G Telemetry Module for UAV Application",Conference,2021,"F. A. P. Kornel, F. A. Fernanda, R. Rahardi, W. D. Lukito, P. Herdian, and R. Virginio, ""A Low Cost, Compact, and Easy to Set Up 4G Telemetry Module for UAV Application,"" 2021 15th International Conference on Telecommunication Systems, Services, and Applications (TSSA), Bali, Indonesia, 2021, pp. 1-5, doi: 10.1109/TSSA52866.2021.9768230.",https://doi.org/10.1109/TSSA52866.2021.9768230,,FALSE,TRUE
publication,Compact Dipole Antenna Based on Meander Line Structure for Unmanned Aerial Vehicle Application,Conference,2020,"R. Rahardi, M. Rizqi, W. D. Lukito, M. Hilmi, R. Virginio and A. Munir, ""Compact Dipole Antenna Based on Meander Line Structure for Unmanned Aerial Vehicle Application,"" 2020 IEEE International Conference on Communication, Networks and Satellite (Comnetsat), Batam, Indonesia, 2020, pp. 174-177, doi: 10.1109/Comnetsat50391.2020.9328993.",https://doi.org/10.1109/Comnetsat50391.2020.9328993,,FALSE,TRUE
publication,Meander Line-based Wilkinson Power Divider for Unmanned Aerial Vehicle Application,Conference,2020,"R. Rahardi, M. Rizqi, W. D. Lukito, R. Virginio, M. Hilmi and A. Munir, ""Meander Line-based Wilkinson Power Divider for Unmanned Aerial Vehicle Application,"" 2020 IEEE International Conference on Communication, Networks and Satellite (Comnetsat), Batam, Indonesia, 2020, pp. 178-181, doi: 10.1109/Comnetsat50391.2020.9328980.",https://doi.org/10.1109/Comnetsat50391.2020.9328980,,FALSE,TRUE
publication,Development of Compact Wilkinson Power Divider Using Meander Line for UAV Telemetry Application,Conference,2020,"M. Rizqi, R. Rahardi, W. D. Lukito, F. A. P. Kornel, A. B. Santiko and A. Munir, ""Development of Compact Wilkinson Power Divider Using Meander Line for UAV Telemetry Application,"" 2020 International Conference on Radar, Antenna, Microwave, Electronics, and Telecommunications (ICRAMET), Tangerang, Indonesia, 2020, pp. 107-110, doi: 10.1109/ICRAMET51080.2020.9298647.",https://doi.org/10.1109/ICRAMET51080.2020.9298647,,FALSE,TRUE
publication,Reduced Size Meander Line-based 433MHz Printed Dipole Antenna for UAV Telemetry Application,Conference,2020,"R. Rahardi, M. Rizqi, W. D. Lukito, R. Wibowo, F. Oktafiani and A. Munir, ""Reduced Size Meander Line-based 433MHz Printed Dipole Antenna for UAV Telemetry Application,"" 2020 International Conference on Radar, Antenna, Microwave, Electronics, and Telecommunications (ICRAMET), Tangerang, Indonesia, 2020, pp. 176-179, doi: 10.1109/ICRAMET51080.2020.9298675.",https://doi.org/10.1109/ICRAMET51080.2020.9298675,,FALSE,TRUE
publication,Satellite-based Integrated Sensing and Communications: Learning to Design Waveform and Receive Filter,Poster,2024,"W. D. Lukito, W. Xiang, P. Lai, and P. Cheng, Satellite-based Integrated Sensing and Communications: Learning to Design Waveform and Receive Filter"" at the 2024 SmartSat CRC Conference, Adelaide, SA, Australia.",,,FALSE,TRUE
publication,Energy-efficient UAV-supported Satellite IoT Communications,Poster,2023,"W. D. Lukito, W. Xiang, P. Lai, and P. Cheng, ""Energy-efficient UAV-supported Satellite IoT Communications"" at the 2023 SmartSat CRC Conference, Adelaide, SA, Australia.",,,FALSE,TRUE
news,One paper accepted in IEEE IGARSS 2026.,,2026-03,,,,FALSE,TRUE
news,One paper accepted in IEEE Journal on Selected Areas in Communications.,,2025-11,,,,FALSE,TRUE
news,I was featured in the SmartSat CRC 2024/2025 Annual Report.,,2025-11,,https://smartsatcrc.lbcdn.io/uploads/SmartSat-Annual-Report_2024-25-FINAL_Financials.pdf,,FALSE,TRUE
news,One paper accepted in IEEE Transactions on Wireless Communications.,,2025-04,,,,FALSE,TRUE
news,One paper accepted in IEEE Internet of Things Journal.,,2024-09,,,,FALSE,TRUE
news,"I presented a poster in SmartSat CRC Conference 2024, Adelaide, South Australia",,2024-09,,,,FALSE,TRUE
news,One paper accepted in IEEE Transactions on Vehicular Technology.,,2024-09,,,,FALSE,TRUE
news,"I presented a poster in SmartSat CRC Conference 2023, Adelaide, South Australia.",,2023-10,,,,FALSE,TRUE
news,"I started my PhD journey with Prof. Wei Xiang, La Trobe University.",,2023-02,,,,FALSE,TRUE
course,Discrete-Time Signal Processing,Teaching,"Spring 2020, Fall 2020, Spring 2021, Fall 2021, Spring 2022","Bandung Institute of Technology, Indonesia",,,FALSE,TRUE
course,Communication Electronics,Teaching,Spring 2022,"Bandung Institute of Technology, Indonesia",,,FALSE,TRUE
course,Telecommunications Engineering Laboratory Works,Teaching,"Spring 2020, Fall 2020, Spring 2021, Fall 2021, Spring 2022","Bandung Institute of Technology, Indonesia",,,FALSE,TRUE
course,Introduction to Circuit Analysis,Teaching,Spring 2021,"Bandung Institute of Technology, Indonesia",,,FALSE,TRUE
course,Data Exploration and Analysis,Teaching,"Semester II 2023, Semester II 2024, Semester II 2025","La Trobe University, Australia",,,FALSE,TRUE
course,Robotics System Design,Teaching,"Semester II 2023, Semester II 2024, Semester II 2025","La Trobe University, Australia",,,FALSE,TRUE
course,Algorithms and Data Structures,Teaching,"Semester I 2024, Semester I 2025","La Trobe University, Australia",,,FALSE,TRUE
course,Embedded System Sensing,Teaching,"Semester I 2025, Semester I 2026","La Trobe University, Australia",,,FALSE,TRUE
course,Data Exploration and Analysis,Course development,,La Trobe University,,,FALSE,TRUE
course,Robotics System Design,Course development,,La Trobe University,,,FALSE,TRUE
course,Embedded System Sensing,Course development,,La Trobe University,,,FALSE,TRUE
course,Advanced Engineering Innovation,Course development,,La Trobe University,,,FALSE,TRUE
education,PhD · Computer Science and Information Technology,"La Trobe University, Australia",2023 – present,Artificial Intelligence for Efficient Satellite IoT Communications. Principal supervisor: Professor Wei Xiang.,https://scholar.google.com.au/citations?user=VxQUr90AAAAJ&hl=en,,FALSE,TRUE
education,M.Sc. · Electrical-Telecommunications Engineering,"Bandung Institute of Technology, Indonesia",2021 – 2022,"Magister Teknik (M.T.), Cum Laude. Thesis: Principal Component Analysis for SVM Algorithm-Based Modulation Classifier Model Optimisation. Academic supervisor: Dr. Effrina Yanti Hamid.",https://digilib.itb.ac.id/gdl/view/64890/,,FALSE,TRUE
education,B.Sc. · Telecommunications Engineering,"Bandung Institute of Technology, Indonesia",2017 – 2021,"Sarjana Teknik (S.T.), Cum Laude. Thesis: Machine Learning Implementation for Software-Defined Radio-Based Modulation Classifier. Academic supervisor: Dr. Effrina Yanti Hamid.",https://digilib.itb.ac.id/gdl/view/55549/,,FALSE,TRUE
award,SmartSat CRC PhD Scholarship,,2023 – 2026,,,,FALSE,TRUE
award,La Trobe University Full Fee Research Scholarship,,2023 – 2026,,,,FALSE,TRUE
award,ITB GTA Scholarship,,2021 – 2022,,,,FALSE,TRUE
service,IEEE Internet of Things Journal,Reviewer,,,,,FALSE,TRUE
service,IEEE Transactions on Communications,Reviewer,,,,,FALSE,TRUE
service,IEEE Transactions on Vehicular Technology,Reviewer,,,,,FALSE,TRUE
service,IEEE Journal on Selected Areas in Communications,Reviewer,,,,,FALSE,TRUE
service,IEEE Network Magazine,Reviewer,,,,,FALSE,TRUE
service,IEEE Communications Magazine,Reviewer,,,,,FALSE,TRUE
service,IEEE Transactions on Cognitive Communications and Networking,Reviewer,,,,,FALSE,TRUE
service,IEEE Transactions on Wireless Communications,Reviewer,,,,,FALSE,TRUE
service,Scientific Reports,Reviewer,,,,,FALSE,TRUE
service,Springer Nature Computer Science,Reviewer,,,,,FALSE,TRUE
photo,Gyeongbokgung Palace,,,"Seoul, South Korea",,/assets/images/photos-gallery/gyeongbokgung.JPG,FALSE,TRUE
photo,An everyday icon,,,"Melbourne, Australia",,/assets/images/photos-gallery/bourkestreettram.JPG,FALSE,TRUE
photo,Dongdaemun Design Plaza,,,"Seoul, South Korea",,/assets/images/photos-gallery/ddp.JPG,FALSE,TRUE
photo,Fenghuang Ancient Town,,,China,,/assets/images/photos-gallery/fenghuang.JPG,FALSE,TRUE
photo,Big Buddha Temple,,,"Guangzhou, China",,/assets/images/photos-gallery/bigbuddhaguanghzhou.JPG,FALSE,TRUE
